iter	Passed	Remaining
1601	7553	34880
1602	7558	34876
1603	7563	34873
1604	7567	34866
1605	7571	34859
1606	7577	34858
1607	7581	34850
1608	7585	34843
1609	7589	34835
1610	7594	34833
1611	7599	34828
1612	7603	34820
1613	7608	34817
1614	7612	34810
1615	7617	34804
1616	7621	34798
1617	7627	34799
1618	7632	34795
1619	7636	34790
1620	7644	34798
1621	7649	34795
1622	7654	34791
1623	7660	34792
1624	7665	34789
1625	7669	34782
1626	7675	34783
1627	7679	34775
1628	7684	34769
1629	7689	34767
1630	7693	34762
1631	7698	34754
1632	7702	34746
1633	7706	34742
1634	7711	34735
1635	7715	34727
1636	7720	34726
1637	7725	34722
1638	7730	34718
1639	7734	34712
1640	7740	34712
1641	7745	34707
1642	7749	34700
1643	7754	34699
1644	7759	34691
1645	7763	34684
1646	7767	34677
1647	7772	34673
1648	7776	34667
1649	7781	34661
1650	7786	34658
1651	7790	34652
1652	7795	34646
1653	7800	34646
1654	7806	34644
1655	7810	34637
1656	7814	34629
1657	7820	34630
1658	7824	34623
1659	7873	34814
1660	7892	34871
1661	7899	34875
1662	7904	34871
1663	7909	34870
1664	7916	34875
1665	7922	34874
1666	7927	34871
1667	7932	34869
1668	7936	34862
1669	7941	34854
1670	7945	34847
1671	7949	34843
1672	7954	34835
1673	7958	34827
1674	7963	34824
1675	7967	34817
1676	7971	34811
1677	7976	34805
1678	7981	34801
1679	7985	34794
1680	8002	34843
1681	8006	34836
